id,model,connectance_mod,complexity_mod,distance_mod,basal_mod,top_mod,S1_mod,S2_mod,S4_mod,S5_mod
28,niche,0.08333333333333333,0.9316791246895252,2.0,7.0,1.0,8.0,6.0,9.0,32.0
28,cascade,0.12962962962962962,0.910746820137633,2.0,5.0,6.0,35.0,16.0,55.0,47.0
28,hierarchy,0.11419753086419752,0.9442567703480464,2.0,3.0,2.0,44.0,1.0,34.0,24.0
28,maxent,0.11728395061728394,0.9317102115706184,2.0,4.0,5.0,20.0,7.0,34.0,30.0
947,random,0.16897506925207756,0.9223086684926703,1.0,0.0,1.0,76.0,9.0,35.0,33.0
947,niche,0.12345679012345678,0.8922022123338303,2.0,5.0,2.0,5.0,0.0,8.0,4.0
947,cascade,0.17174515235457063,0.8998478575194703,3.0,2.0,3.0,82.0,45.0,73.0,78.0
947,hierarchy,0.15789473684210525,0.9205913731581467,1.0,1.0,0.0,62.0,10.0,33.0,33.0
947,maxent,0.16066481994459833,0.9060809305766693,2.0,2.0,3.0,28.0,22.0,52.0,66.0
1262,random,0.09023668639053255,0.946122253618875,1.0,2.0,1.0,54.0,1.0,21.0,21.0
1262,niche,0.1504,0.8665756242737535,2.0,9.0,1.0,88.0,32.0,114.0,266.0
1262,cascade,0.08284023668639054,0.9408833835604233,4.0,6.0,6.0,58.0,11.0,57.0,60.0
1262,hierarchy,0.08875739644970414,0.9462826096020982,1.0,2.0,4.0,80.0,1.0,63.0,41.0
1262,maxent,0.08875739644970414,0.9041306124878258,2.0,14.0,7.0,7.0,9.0,118.0,214.0
1261,random,0.11,0.9820697205159719,1.0,3.0,1.0,4.0,0.0,0.0,0.0
1261,niche,0.19008264462809918,0.893676492025832,1.0,2.0,2.0,6.0,1.0,7.0,12.0
1261,cascade,0.09090909090909091,0.967189276912609,4.0,4.0,3.0,6.0,0.0,4.0,6.0
1261,hierarchy,0.09467455621301775,0.9525639158406874,2.0,3.0,3.0,13.0,2.0,5.0,4.0
